time,index,address,title,heat
Fri Aug  9 11:38:28 2019,20,https://www.zhihu.com/question/339126201,已经宣布地球资源不足了，为什么大部分人类依旧我行我素，丝毫不珍惜?,270 万热度
Fri Aug  9 11:38:28 2019,21,https://www.zhihu.com/question/338576113,为什么中国省份划分线那么复杂？,260 万热度
Fri Aug  9 11:38:28 2019,22,https://www.zhihu.com/question/301396283,从地理上来看哪个国家最难入侵？,249 万热度
Fri Aug  9 11:38:28 2019,23,https://www.zhihu.com/question/337895962,美国治安不好，为什么还要去美国呢？,240 万热度
Fri Aug  9 11:38:28 2019,24,https://www.zhihu.com/question/289049322,如何看待麦当劳 5 元板烧鸡腿堡挤爆店？,238 万热度
Fri Aug  9 11:38:28 2019,25,https://www.zhihu.com/question/24458401,网上配眼镜哪里靠谱一点?,214 万热度
Fri Aug  9 11:38:28 2019,26,https://www.zhihu.com/question/30407005,历史上有哪些人有着鲜为人知、与其名声不符的一面？,196 万热度
Fri Aug  9 11:38:28 2019,27,https://www.zhihu.com/question/337767998,《长安十二时辰》里易烊千玺的演技是整部剧最大的败笔吗?,189 万热度
Fri Aug  9 11:38:28 2019,28,https://www.zhihu.com/question/339329734,如何看待七夕礼物一夜变垃圾？,184 万热度
Fri Aug  9 11:38:28 2019,29,https://www.zhihu.com/question/33630925,如何看待广东人对粤语的执着？,180 万热度
Fri Aug  9 11:38:28 2019,30,https://www.zhihu.com/question/339216980,电影中经常出现的摩斯密码，是装逼还是剧情需要？,177 万热度
Fri Aug  9 11:38:28 2019,31,https://www.zhihu.com/question/338832285,如何激怒一位计算机科学爱好者？,168 万热度
Fri Aug  9 11:38:28 2019,32,https://www.zhihu.com/question/27564370,如何去除鼻子上的黑头？,165 万热度
Fri Aug  9 11:38:28 2019,33,https://www.zhihu.com/question/339225272,如果哪吒、杨戬、孙悟空三个一起打上凌霄宝殿，天庭拦得住他们吗？,162 万热度
Fri Aug  9 11:38:28 2019,34,https://www.zhihu.com/question/293379554,你知道有哪些好鞋不贵系列吗？,153 万热度
Fri Aug  9 11:38:28 2019,35,https://www.zhihu.com/question/29569711,情侣或夫妻学历差距大是什么体验？,151 万热度
Fri Aug  9 11:38:28 2019,36,https://www.zhihu.com/question/338488057,汉服热潮是否只是昙花一现？,149 万热度
Fri Aug  9 11:38:28 2019,37,https://www.zhihu.com/question/339269639,如何评价斗鱼《英雄联盟》主播电棍（otto）重回 LPL 赛场?,147 万热度
Fri Aug  9 11:38:28 2019,38,https://www.zhihu.com/question/28753338,值得推荐，性价比高，值得回购的防晒霜有哪些？,146 万热度
Fri Aug  9 11:38:28 2019,39,https://www.zhihu.com/question/339254613,如何看待长安十二时辰里很多观众对张小敬的评价发生反转？,141 万热度
Fri Aug  9 11:38:28 2019,40,https://www.zhihu.com/question/339193656,《王者荣耀》什么英雄五个位置都可以打？,138 万热度
Fri Aug  9 11:38:28 2019,41,https://www.zhihu.com/question/338971188,如果《英雄联盟》新出一个从兵线小兵晋升而来的英雄，这个英雄应该有什么样的特性和技能？,135 万热度
Fri Aug  9 11:38:28 2019,42,https://www.zhihu.com/question/330095348,手机计算器能飞快算出 4500! 的结果是 2.27429E14487，是怎么做到的？是做了 4500 次乘法？,116 万热度
Fri Aug  9 11:38:28 2019,43,https://www.zhihu.com/question/339296584,游戏《全面战争：三国》最新 DLC 「八王之乱」的游戏体验如何？,115 万热度
Fri Aug  9 11:38:28 2019,44,https://www.zhihu.com/question/338953036,如何评价《轮到你了》番外第 14 集二阶堂忍篇？,113 万热度
Fri Aug  9 11:38:28 2019,45,https://www.zhihu.com/question/335583685,如何评价 8 月 8 日发布的努比亚 Z20 手机？有哪些亮点和不足？,113 万热度
Fri Aug  9 11:38:28 2019,46,https://www.zhihu.com/question/335891562,朋友说 LoL 要学会拉扯打野，这和野怪站着对 A 有什么区别？,112 万热度
Fri Aug  9 11:38:28 2019,47,https://www.zhihu.com/question/339250634,如何看待徐翔妻子在七夕节闹离婚？,112 万热度
Fri Aug  9 11:38:28 2019,48,https://www.zhihu.com/question/306570964,南方姑娘和北方姑娘有什么不同？,110 万热度
Fri Aug  9 11:38:28 2019,49,https://www.zhihu.com/question/333073289,LoL 云顶之弈新手怎么入门？,109 万热度
Fri Aug  9 11:38:28 2019,50,https://www.zhihu.com/question/338609079,如何评价北理 / 清华经管李阳? 应该如何防范遇到这样的人?,101 万热度
